experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260716_live_k_sketch_coverage_k32_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.515625,0.7109375,1456.0,1.0,191808.0,0,230544.0,403426.0,403426.0,1.0,1.0,5696,112.40572,904.382592,948.970451,331.432145,1121.072742,0.0,361.74003921875,163072.0,191808.0
20260716_live_k_sketch_coverage_k16_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.3984375,0.6328125,1296.0,1.0,171120.0,0,209856.0,403426.0,403426.0,2.0,2.0,4480,150.910943,953.356102,981.780121,353.211604,1144.467898,0.0,446.6387137421875,145152.0,171120.0
20260716_live_k_load_only_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,0,12,20260716,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.234375,480.0,1.0,65808.0,0,81808.0,403426.0,403426.0,0.0,0.0,384,863.099863,928.491235,933.846987,999.87687,1068.490122,0.0,682.905723046875,53760.0,65808.0
20260716_live_k_sketch_coverage_k4_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0546875,0.296875,608.0,1.0,82352.0,0,110720.0,403426.0,403426.0,1.0,1.0,1408,845.721402,907.116922,914.734444,980.925275,1045.669518,0.0,626.1602227890625,68096.0,82352.0
20260716_live_k_exact_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,0,12,20260716,98e62789eb142dc1355f5c7445e1032d6bdc58a345de8bce8dc14e4e7ff5aa0f,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k32,sketch_coverage_k16,load_only,sketch_coverage_k4,exact",b02-v5:difficult-k:rep0:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.515625,0.7109375,1456.0,1.0,191808.0,0,230544.0,403426.0,403426.0,1.0,1.0,5696,119.443027,890.354127,947.678823,332.830831,1105.342727,0.0,353.99849278125,163072.0,191808.0
20260716_live_k_sketch_coverage_k16_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.40625,0.6484375,1328.0,1.0,175232.0,0,209808.0,403418.0,403418.0,1.0,1.0,4480,149.72122,931.37544,1026.684201,340.267394,1146.101572,0.0,416.6842718125,148736.0,175232.0
20260716_live_k_load_only_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,1,12,20260716,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.3203125,656.0,1.0,88560.0,0,108640.0,403418.0,403418.0,0.0,0.0,384,867.581721,944.680113,989.327347,1009.677479,1092.981489,0.0,633.6908677734375,73472.0,88560.0
20260716_live_k_sketch_coverage_k4_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.078125,0.34375,704.0,1.0,94784.0,0,121040.0,403418.0,403418.0,1.0,1.0,1408,870.02946,992.655544,1019.845437,1011.00423,1155.874181,0.0,651.49972978125,78848.0,94784.0
20260716_live_k_exact_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,1,12,20260716,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.7421875,1520.0,1.0,200000.0,0,234576.0,403418.0,403418.0,1.0,1.0,5568,133.593504,983.96175,1024.513056,363.706066,1253.712627,0.0,384.4046624453125,170240.0,200000.0
20260716_live_k_sketch_coverage_k32_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k32,32,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,2b391b90eab28ec6be026dfb29246371c67096c8c21dbfef1e9469bf6b7d7f31,192,64,128,96,0.05,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,load_only,sketch_coverage_k4,exact,sketch_coverage_k32",b02-v5:difficult-k:rep1:sketch_coverage_k32,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5546875,0.7421875,1520.0,1.0,200000.0,0,234576.0,403418.0,403418.0,1.0,1.0,5568,139.973861,931.701814,1015.851473,364.494185,1157.941707,0.0,374.82252609375,170240.0,200000.0
