experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,bps_tier,link_msg_bytes,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,distinct_prefixes_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,prefix_token_target,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,utility_tau_s,utility_lambda,utility_gate_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,cell_active_s,upserts_generated,upserts_per_s,raw_ad_bytes_per_s,affinity_selection_rate,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,link_bps,link_bytes_sent,link_upserts_sent,link_tombstones_sent,link_dropped_superseded,link_dropped_replica_cap,link_dropped_low_utility,ad_queue_delay_p50_s,ad_queue_delay_p95_s,tombstone_delay_p95_s,ewma_dq_final_s
20260723_shared_link_live_v1_ideal_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,ideal,ideal,none,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,37.213151768781245,128,3.4396441557896047,220.1372259705347,0.34375,1.0,99872.0,0,0.0,574.7761000416667,821.766773,959.087016,973.295149,1195.931023,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20260723_shared_link_live_v1_exact_fifo@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@low,exact_fifo,low,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:exact_fifo@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,34.12252992205322,128,3.751187273991494,240.07598553545563,0.3125,1.0,87504.0,0,0.0,618.4269868125,853.000071,1023.440602,1003.431079,1283.184327,0,0.0,960.0,8192,128,0,0,0,0,0.20147827453911304,0.2719346275553107,0.0,0.18817356193887638
20260723_shared_link_live_v1_exact_fifo@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@med,exact_fifo,med,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:exact_fifo@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,35.112071454524994,128,3.64546991098995,233.3100743033568,0.3125,1.0,87504.0,0,0.0,631.9515388125,867.481151,978.479965,1022.587492,1240.962968,0,0.0,410.0,8192,128,0,0,0,0,0.47037141025066376,0.629529619589448,0.0,0.4368726923143153
20260723_shared_link_live_v1_exact_fifo@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@high,exact_fifo,high,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:exact_fifo@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,34.725547577254474,128,3.6860469864510095,235.9070071328646,0.3125,1.0,87504.0,0,0.0,635.4850706458334,888.421009,1019.419434,1045.899178,1218.523914,0,0.0,300.0,8192,128,0,0,0,0,0.6426809309050441,0.8953384403139353,0.0,0.5963910058065779
20260723_shared_link_live_v1_local_topk@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@low,local_topk,low,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:local_topk@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,36.187438926659524,128,3.537138957509965,226.37689328063777,0.3020833333333333,1.0,87488.0,0,0.0,660.28367884375,902.059224,1051.322108,1061.035138,1269.518858,0,0.0,960.0,11328,128,49,0,0,0,0.20432624500244856,0.47543339617550373,0.4758905144408345,0.24260425812598851
20260723_shared_link_live_v1_local_topk@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@med,local_topk,med,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:local_topk@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,35.51299320627004,128,3.6043146027297075,230.67613457470128,0.3020833333333333,1.0,87488.0,0,0.0,638.3379634583333,879.917621,980.170081,1047.617105,1241.466104,0,0.0,410.0,11328,128,49,0,0,0,0.6287135221064091,1.3470964087173343,1.301612064242363,0.5648723679322094
20260723_shared_link_live_v1_local_topk@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@high,local_topk,high,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:local_topk@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,36.367488307878375,128,3.519627171290547,225.256138962595,0.25,1.0,83360.0,0,0.0,650.8959151145833,900.854799,1083.409777,1057.006725,1351.52389,0,0.0,300.0,11392,128,50,0,0,0,1.6409925166517496,6.0566264521330595,5.692989869974554,5.962818371566668
20260723_shared_link_live_v1_agg_static@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@low,agg_static,low,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:agg_static@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,37.71192115359008,128,3.394152196030849,217.22574054597433,0.3125,1.0,87504.0,0,0.0,672.6505516354167,917.513169,1054.291046,1093.617915,1333.234838,0,0.0,960.0,8128,127,0,1,0,0,0.13661129120737314,0.2720741732046008,0.0,0.1884843917019106
20260723_shared_link_live_v1_agg_static@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@med,agg_static,med,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:agg_static@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,39.44365082774311,128,3.2451357142115715,207.68868570954058,0.3125,1.0,87504.0,0,0.0,711.0351305208334,942.773961,1177.899935,1123.945593,1461.431708,0,0.0,410.0,8128,127,0,1,0,0,0.47011935245245695,0.6292121186852455,0.0,0.43695736261859874
20260723_shared_link_live_v1_agg_static@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@high,agg_static,high,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:agg_static@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,38.41694574151188,128,3.331862997679383,213.23923185148053,0.3125,1.0,87504.0,0,0.0,686.8084163958333,938.598439,1106.110313,1109.390969,1352.217247,0,0.0,300.0,8128,127,0,1,0,0,0.6420954577624798,0.8584052519872785,0.0,0.5959787970758141
20260723_shared_link_live_v1_agg_adaptive@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@low,agg_adaptive,low,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:agg_adaptive@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,36.91523349657655,128,3.467403233731963,221.91380695884564,0.3125,1.0,87504.0,0,0.0,663.5305060625,929.910649,1021.224606,1097.091995,1328.731163,0,0.0,960.0,8128,127,0,1,0,0,0.13801250513643026,0.2719233799725771,0.0,0.18923191437106524
20260723_shared_link_live_v1_agg_adaptive@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,03caaa06429897b57dfd56f4ce889529cf5b71bc,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@med,agg_adaptive,med,64,0,4,20260723,4a8557a7afb0a0bfe269052f2ec47d46c552e97c2231eb1debad8358d55c1172,0.55,64,128,64,128,32,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:full:agg_adaptive@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,37.69589371047914,128,3.395595312929723,217.31810002750228,0.3125,1.0,87504.0,0,0.0,679.47114675,934.858333,1050.652548,1098.847388,1365.893884,0,0.0,410.0,8128,127,0,1,0,0,0.4705719333142042,0.6293862508609891,0.0,0.43684441974039717
