experiment_id,experiment,evidence_type,code_commit,model,hardware,locality,policy,K,J,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,cache_capacity,concurrency,policy_order,policy_order_sequence,serving_cache_namespace,metric_scope,status,request_count,cache_hit_rate,observed_reuse_hit_rate,candidate_hit_rate,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate
20260715_paired_latency_high_sketch_k16_rep0,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,0,20,20260715,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,288,32,128,4,0,"sketch_k16,load_only,sketch_k8,exact",b02pairedv3_high_rep0_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.72265625,0.72265625,0.71875,4.0,4.0,4480,43.307273,200.220224,252.386658,506.616858,704.993904,0.0
20260715_paired_latency_high_load_only_rep0,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,0,20,20260715,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,288,32,128,4,1,"sketch_k16,load_only,sketch_k8,exact",b02pairedv3_high_rep0_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.671875,0.671875,0.0,0.0,0.0,384,44.934516,184.08876,213.716449,325.734997,472.954698,0.0
20260715_paired_latency_high_sketch_k8_rep0,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,0,20,20260715,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,288,32,128,4,2,"sketch_k16,load_only,sketch_k8,exact",b02pairedv3_high_rep0_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.69921875,0.69921875,0.66796875,4.0,4.0,2432,44.293294,191.41023,237.410088,502.841205,674.389987,0.0
20260715_paired_latency_high_exact_rep0,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,0,20,20260715,f9b3aef3431ca7fbabb7327226b578eab40c2e8e77a1002fde1df493e21e850f,288,32,128,4,3,"sketch_k16,load_only,sketch_k8,exact",b02pairedv3_high_rep0_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.734375,0.734375,0.734375,4.0,4.0,5888,42.994831,171.857175,192.139653,314.377274,451.249654,0.0
20260715_paired_latency_high_exact_rep1,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,1,20,20260715,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,288,32,128,4,0,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep1_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.66015625,0.66015625,0.66015625,4.0,4.0,7232,44.457262,176.475867,192.046424,321.133644,459.841631,0.0
20260715_paired_latency_high_load_only_rep1,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,1,20,20260715,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,288,32,128,4,1,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep1_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.59375,0.59375,0.0,0.0,0.0,384,47.131461,187.998068,201.221346,333.517809,484.876411,0.0
20260715_paired_latency_high_sketch_k8_rep1,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,1,20,20260715,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,288,32,128,4,2,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep1_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.6328125,0.6328125,0.5703125,4.0,4.0,2432,46.281678,192.487939,202.825278,517.378795,688.664779,0.0
20260715_paired_latency_high_sketch_k16_rep1,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,1,20,20260715,cb05d6d403ab03c236829d7ba9797a3d9a20aa69f1a9935f932fc99c6722eb16,288,32,128,4,3,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep1_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.63671875,0.63671875,0.62890625,4.0,4.0,4480,45.920692,190.852963,207.577984,524.480833,687.636675,0.0
20260715_paired_latency_high_load_only_rep2,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,2,20,20260715,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,288,32,128,4,0,"load_only,exact,sketch_k16,sketch_k8",b02pairedv3_high_rep2_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.62109375,0.62109375,0.0,0.0,0.0,384,46.376526,188.969996,209.001839,333.484763,490.228025,0.0
20260715_paired_latency_high_exact_rep2,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,2,20,20260715,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,288,32,128,4,1,"load_only,exact,sketch_k16,sketch_k8",b02pairedv3_high_rep2_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.71484375,0.71484375,0.71484375,4.0,4.0,6464,46.258284,178.52045,187.12618,331.280531,469.667493,0.0
20260715_paired_latency_high_sketch_k16_rep2,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,2,20,20260715,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,288,32,128,4,2,"load_only,exact,sketch_k16,sketch_k8",b02pairedv3_high_rep2_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.703125,0.703125,0.69921875,4.0,4.0,4480,45.736371,189.424289,202.631379,514.958358,691.603199,0.0
20260715_paired_latency_high_sketch_k8_rep2,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,2,20,20260715,858ea31fbd2ddcc1189f1b74a342c00dfa6e5bb7ecc5d4b9fef6d269a5549a8c,288,32,128,4,3,"load_only,exact,sketch_k16,sketch_k8",b02pairedv3_high_rep2_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.6796875,0.6796875,0.6484375,4.0,4.0,2432,46.054541,194.243643,220.885211,524.153064,705.047793,0.0
20260715_paired_latency_high_exact_rep3,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,3,20,20260715,613314ea741fda004f026b556033fbd16906bd05de4a8a273151446063988836,288,32,128,4,0,"exact,load_only,sketch_k16,sketch_k8",b02pairedv3_high_rep3_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.70703125,0.70703125,0.70703125,4.0,4.0,6592,46.305744,179.416008,200.630254,335.144334,472.445926,0.0
20260715_paired_latency_high_load_only_rep3,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,3,20,20260715,613314ea741fda004f026b556033fbd16906bd05de4a8a273151446063988836,288,32,128,4,1,"exact,load_only,sketch_k16,sketch_k8",b02pairedv3_high_rep3_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.6953125,0.6953125,0.0,0.0,0.0,384,46.687636,185.093236,192.33973,339.274316,475.74719,0.0
20260715_paired_latency_high_sketch_k16_rep3,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,3,20,20260715,613314ea741fda004f026b556033fbd16906bd05de4a8a273151446063988836,288,32,128,4,2,"exact,load_only,sketch_k16,sketch_k8",b02pairedv3_high_rep3_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7109375,0.7109375,0.70703125,4.0,4.0,4480,45.87285,195.424155,204.046186,523.410605,702.771465,0.0
20260715_paired_latency_high_sketch_k8_rep3,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,3,20,20260715,613314ea741fda004f026b556033fbd16906bd05de4a8a273151446063988836,288,32,128,4,3,"exact,load_only,sketch_k16,sketch_k8",b02pairedv3_high_rep3_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.68359375,0.68359375,0.65625,4.0,4.0,2432,46.859096,189.077992,206.028645,528.092404,696.778731,0.0
20260715_paired_latency_high_exact_rep4,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,4,20,20260715,b50479bb87427790a4533c5cd4a6863a5ac3d0e0bad2e314474cca6ece5baa8b,288,32,128,4,0,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep4_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7109375,0.7109375,0.7109375,4.0,4.0,6592,49.120575,187.188992,205.353835,345.886947,485.201151,0.0
20260715_paired_latency_high_load_only_rep4,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,4,20,20260715,b50479bb87427790a4533c5cd4a6863a5ac3d0e0bad2e314474cca6ece5baa8b,288,32,128,4,1,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep4_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.67578125,0.67578125,0.0,0.0,0.0,384,45.993472,185.167733,193.664547,336.510691,478.214179,0.0
20260715_paired_latency_high_sketch_k8_rep4,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,4,20,20260715,b50479bb87427790a4533c5cd4a6863a5ac3d0e0bad2e314474cca6ece5baa8b,288,32,128,4,2,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep4_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.67578125,0.67578125,0.65625,4.0,4.0,2432,47.234346,196.10562,208.749442,536.228491,706.002991,0.0
20260715_paired_latency_high_sketch_k16_rep4,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,4,20,20260715,b50479bb87427790a4533c5cd4a6863a5ac3d0e0bad2e314474cca6ece5baa8b,288,32,128,4,3,"exact,load_only,sketch_k8,sketch_k16",b02pairedv3_high_rep4_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.71484375,0.71484375,0.7109375,4.0,4.0,4480,46.760004,198.659187,208.459137,531.324685,710.007249,0.0
20260715_paired_latency_high_sketch_k16_rep5,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,5,20,20260715,317b0998b104c829ada92897be101ab0421c99c2d9d95d9cba8ec2d9818a89ca,288,32,128,4,0,"sketch_k16,exact,sketch_k8,load_only",b02pairedv3_high_rep5_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7578125,0.7578125,0.75390625,4.0,4.0,4480,44.713057,194.517237,207.773699,501.850815,676.772707,0.0
20260715_paired_latency_high_exact_rep5,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,5,20,20260715,317b0998b104c829ada92897be101ab0421c99c2d9d95d9cba8ec2d9818a89ca,288,32,128,4,1,"sketch_k16,exact,sketch_k8,load_only",b02pairedv3_high_rep5_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.765625,0.765625,0.765625,4.0,4.0,5568,44.72329,180.716417,193.569168,333.985548,472.474986,0.0
20260715_paired_latency_high_sketch_k8_rep5,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,5,20,20260715,317b0998b104c829ada92897be101ab0421c99c2d9d95d9cba8ec2d9818a89ca,288,32,128,4,2,"sketch_k16,exact,sketch_k8,load_only",b02pairedv3_high_rep5_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.73046875,0.73046875,0.7109375,4.0,4.0,2432,46.003969,194.449738,210.677462,524.721152,688.527384,0.0
20260715_paired_latency_high_load_only_rep5,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,5,20,20260715,317b0998b104c829ada92897be101ab0421c99c2d9d95d9cba8ec2d9818a89ca,288,32,128,4,3,"sketch_k16,exact,sketch_k8,load_only",b02pairedv3_high_rep5_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7265625,0.7265625,0.0,0.0,0.0,384,44.547123,185.210675,193.384373,334.054996,473.606438,0.0
20260715_paired_latency_high_sketch_k16_rep6,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,6,20,20260715,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,288,32,128,4,0,"sketch_k16,exact,load_only,sketch_k8",b02pairedv3_high_rep6_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.71875,0.71875,0.703125,4.0,4.0,4480,46.047061,192.481524,200.890275,535.649141,691.355863,0.0
20260715_paired_latency_high_exact_rep6,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,exact,inf,8,6,20,20260715,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,288,32,128,4,1,"sketch_k16,exact,load_only,sketch_k8",b02pairedv3_high_rep6_exact,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.71484375,0.71484375,0.71484375,4.0,4.0,6144,46.7394,182.15302,200.953043,341.462233,482.171976,0.0
20260715_paired_latency_high_load_only_rep6,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,load_only,inf,8,6,20,20260715,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,288,32,128,4,2,"sketch_k16,exact,load_only,sketch_k8",b02pairedv3_high_rep6_load_only,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.65625,0.65625,0.0,0.0,0.0,384,46.133477,194.888938,202.829845,334.209771,501.1677,0.0
20260715_paired_latency_high_sketch_k8_rep6,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,6,20,20260715,a5e48c92295bb875b89b86e7a0d4eed0da3679ae1cc7236e145b884dbb95e6a0,288,32,128,4,3,"sketch_k16,exact,load_only,sketch_k8",b02pairedv3_high_rep6_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.68359375,0.68359375,0.65234375,4.0,4.0,2432,47.565626,203.999106,217.705013,542.826433,723.008884,0.0
20260715_paired_latency_high_sketch_k8_rep7,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k8,8,8,7,20,20260715,9aa50a61ae1492f5e6a1028545e3359dcac7310395946f2c5ee0d08e3a29f9c6,288,32,128,4,0,"sketch_k8,sketch_k16,load_only,exact",b02pairedv3_high_rep7_sketch_k8,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7421875,0.7421875,0.703125,4.0,4.0,2432,47.273607,199.06501,207.71155,542.123605,714.694872,0.0
20260715_paired_latency_high_sketch_k16_rep7,paired_t4_latency_replay_v3,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,high,sketch_k16,16,8,7,20,20260715,9aa50a61ae1492f5e6a1028545e3359dcac7310395946f2c5ee0d08e3a29f9c6,288,32,128,4,1,"sketch_k8,sketch_k16,load_only,exact",b02pairedv3_high_rep7_sketch_k16,"TTFT is live; reuse is dispatcher-observed, not an internal vLLM cache counter",Current,256,0.7578125,0.7578125,0.75390625,4.0,4.0,4352,44.535404,197.607137,214.956445,525.564367,712.061287,0.0
