experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,bps_tier,link_msg_bytes,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,lineage_steps,base_prefix_tokens,step_tokens,distinct_lineages_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,utility_tau_s,utility_lambda,utility_gate_s,max_backlog_exact_fifo,drain_timeout_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,cell_order_index,cell_order_sequence,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,cell_active_s,upserts_generated,upserts_per_s,raw_ad_bytes_per_s,affinity_selection_rate,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,mean_coverage_shortfall_tokens,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,link_bps,link_bytes_sent,link_upserts_sent,link_tombstones_sent,link_dropped_superseded,link_dropped_replica_cap,link_dropped_low_utility,backlog_drop_count,link_max_backlog_depth,ad_queue_delay_mean_s,ad_queue_delay_p50_s,ad_queue_delay_p95_s,tombstone_delay_p95_s,ewma_dq_final_s
20260723_shared_link_live_v2_agg_adaptive@med_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,707cebfa0c3e443c6d0e572662efc2b5bc471a90,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@med,agg_adaptive,med,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,0,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:agg_adaptive@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,76.4763625562191,128,1.6737197706795348,107.11806532349023,0.34375,1.0,97904.0,0,0.0,81.83333333333333,1470.1017978645834,1390.984331,2861.822865,1711.008829,3446.91902,0,0.0,110.0,8128,127,0,1,0,0,0,8,2.223690195412441,2.2107397941872478,4.0999655947089195,0.0,2.481086872785493
20260723_shared_link_live_v2_exact_fifo@high_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,707cebfa0c3e443c6d0e572662efc2b5bc471a90,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@high,exact_fifo,high,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,1,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:exact_fifo@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,84.64138497319072,128,1.5122625892823311,96.7848057140692,0.09375,1.0,68096.0,0,0.0,10.0,1548.31364946875,1423.039218,2888.622565,1663.520495,3233.582238,0,0.0,63.0,8192,128,0,0,0,0,0,47,27.27022646817204,28.30976519547403,45.70271336007863,0.0,46.08287317146451
20260723_shared_link_live_v2_exact_fifo@low_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,707cebfa0c3e443c6d0e572662efc2b5bc471a90,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@low,exact_fifo,low,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,2,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:exact_fifo@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,73.29609744995832,128,1.7463412712715005,111.76584136137603,0.3541666666666667,1.0,106048.0,0,0.0,87.16666666666667,1404.2103378854167,1395.574634,2225.963616,1807.905966,2877.62263,0,0.0,220.0,8192,128,0,0,0,0,0,4,0.7297159159788862,0.8742766175419092,1.1673998404294252,0.0,0.8098627449216622
20260723_shared_link_live_v2_agg_static@high_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@high,agg_static,high,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,3,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:agg_static@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,80.01939705852419,127,1.5871151829239023,101.57537170712975,0.14583333333333334,1.0,80368.0,0,0.0,15.0,1502.9850546354166,1432.222109,2706.167876,1735.011968,3081.465356,0,0.0,63.0,6848,107,0,20,1,0,0,30,17.248857799195033,18.96755396761,27.79748027585447,0.0,28.45946431156833
20260723_shared_link_live_v2_local_topk@med_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@med,local_topk,med,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,4,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:local_topk@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,87.89329389110208,128,1.4563113331329838,93.20392532051096,0.25,1.0,76800.0,0,0.0,55.5,1724.19216434375,1706.283578,3083.761106,1994.254322,3582.065076,0,0.0,110.0,11904,128,58,0,0,0,0,48,10.04807108201203,5.6988390032202005,25.701151406392455,25.394194091670215,26.60042652105304
20260723_shared_link_live_v2_local_topk@low_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@low,local_topk,low,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,5,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:local_topk@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,75.6480281688273,128,1.6920467472640044,108.29099182489628,0.34375,1.0,104016.0,0,0.0,87.16666666666667,1434.79849225,1377.707821,2421.235554,1752.791826,2888.858215,0,0.0,220.0,11072,128,45,0,0,0,0,9,1.001171231517219,0.8755998453125358,2.0409034211188555,2.0419798055663705,1.4310149140930453
20260723_shared_link_live_v2_agg_adaptive@low_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@low,agg_adaptive,low,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,6,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:agg_adaptive@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,73.6189117860049,128,1.7386836737286988,111.27575511863672,0.3541666666666667,1.0,106048.0,0,0.0,87.16666666666667,1385.6586119479166,1526.434724,2312.819733,1859.094117,2679.789264,0,0.0,220.0,8128,127,0,1,0,0,0,4,0.7261406470706143,0.5852542156353593,1.1674275156110525,0.0,0.8098186233156933
20260723_shared_link_live_v2_agg_static@low_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@low,agg_static,low,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,7,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:agg_static@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,78.88366389740258,128,1.6226426826025595,103.84913168656381,0.3541666666666667,1.0,106048.0,0,0.0,87.16666666666667,1449.5630554791667,1527.269448,2384.832637,1923.483634,2919.82408,0,0.0,220.0,8128,127,0,1,0,0,0,4,0.7262514694337183,0.5852989610284567,1.1670379200950265,0.0,0.8099714236708382
20260723_shared_link_live_v2_agg_adaptive@high_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@high,agg_adaptive,high,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,8,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:agg_adaptive@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,85.19550526235253,91,1.0681314667924442,68.36041387471643,0.16666666666666666,1.0,86608.0,0,0.0,66.16666666666667,1575.99787975,1562.272599,2582.361196,1916.616033,3155.87204,0,0.0,63.0,5440,85,0,6,0,37,0,10,5.307495912799941,5.213783082552254,9.578898961655796,0.0,6.694934920382161
20260723_shared_link_live_v2_ideal_rep0,shared_link_live_v2,hybrid_live_vllm_simulated_link,4f5bd993c588988c73d910f6d96b87f50ef12639,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,ideal,ideal,none,64,0,4,20260723,131b18dff987d00e04cd08aabfdaeacafdd5823f7a08213b1c1346505b6edb23,0.55,64,3,2048,512,128,64,128,32,4,4,104544,30.0,28.0,0.05,200,60.0,8,4,0.5,50.0,2.0,9,"agg_adaptive@med,exact_fifo@high,exact_fifo@low,agg_static@high,local_topk@med,local_topk@low,agg_adaptive@low,agg_static@low,agg_adaptive@high,ideal,exact_fifo@med,local_topk@high,agg_static@med",greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v2:v2:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,96,81.10076687857509,128,1.5782834728510389,101.01014226246649,0.4166666666666667,1.0,108128.0,0,0.0,93.0,1531.5027372083334,1559.786097,3041.107552,1993.973092,3654.993015,0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
