experiment_id,experiment,evidence_type,code_commit,model,hardware,variant,policy,view_mode,K,J,admission,routing_guard,sglang_assumed_capacity,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,stale_belief_rate,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260720_crosssystem_normal_exact_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,exact,net_benefit,inf,4,n/a,net_prefill_benefit,512,0,2,20260720,60e7acba6cb1a02a2a9e7e981d871d121278da3038de887e74f1b36cea1dedfa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.4375,0.5,1024.0,1.0,33904.0,0.0,0,44912.0,134472.0,134472.0,1.0,1.0,3136,799.880919,956.22392,1594.231788,938.866883,1652.145222,0.0,605.43422340625,28672.0,33904.0
20260720_crosssystem_normal_sglang_approx_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,512,0,2,20260720,60e7acba6cb1a02a2a9e7e981d871d121278da3038de887e74f1b36cea1dedfa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.4375,0.5,1024.0,1.0,33904.0,0.0,0,44912.0,134472.0,134472.0,1.0,1.0,3136,780.686302,903.016222,904.979429,912.110453,1120.099059,0.0,510.1799263125,28672.0,33904.0
20260720_crosssystem_normal_sketch_coverage_k16_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,512,0,2,20260720,60e7acba6cb1a02a2a9e7e981d871d121278da3038de887e74f1b36cea1dedfa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.4375,0.5,1024.0,1.0,33904.0,0.0,0,44912.0,134472.0,134472.0,1.0,1.0,3136,790.665323,883.838939,887.350973,922.033745,1104.385809,0.0,512.91702503125,28672.0,33904.0
20260720_crosssystem_normal_load_only_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,512,0,2,20260720,60e7acba6cb1a02a2a9e7e981d871d121278da3038de887e74f1b36cea1dedfa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.0,0.1875,384.0,1.0,13248.0,0.0,0,15920.0,134472.0,134472.0,0.0,0.0,384,825.146109,902.024436,913.652564,961.836896,1040.634292,0.0,696.44241575,10752.0,13248.0
20260720_crosssystem_normal_preble_global_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,preble_global,preble_global,inf,4,global exact view,none,512,0,2,20260720,60e7acba6cb1a02a2a9e7e981d871d121278da3038de887e74f1b36cea1dedfa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.4375,0.5,1024.0,1.0,33904.0,0.0,0,44912.0,134472.0,134472.0,1.0,1.0,384,812.673231,914.432178,915.410426,944.011128,1075.355896,0.0,522.925269,28672.0,33904.0
20260720_crosssystem_normal_sketch_coverage_k16_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,512,1,2,20260720,11f7717969049b92e5a7277fb80cb3dd94f6f4af166b6b094caf5a3e40510ffa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.375,0.40625,832.0,1.0,27712.0,0.0,0,40752.0,134470.0,134470.0,1.0,1.0,3264,858.101581,1012.105414,1013.456608,1011.646434,1272.756767,0.0,704.3517561875,23296.0,27712.0
20260720_crosssystem_normal_exact_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,exact,net_benefit,inf,4,n/a,net_prefill_benefit,512,1,2,20260720,11f7717969049b92e5a7277fb80cb3dd94f6f4af166b6b094caf5a3e40510ffa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.375,0.40625,832.0,1.0,27712.0,0.0,0,40752.0,134470.0,134470.0,1.0,1.0,3264,869.389082,1038.245393,1039.608671,1007.280882,1257.985233,0.0,718.0655255,23296.0,27712.0
20260720_crosssystem_normal_load_only_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,512,1,2,20260720,11f7717969049b92e5a7277fb80cb3dd94f6f4af166b6b094caf5a3e40510ffa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.0,0.125,256.0,1.0,9120.0,0.0,0,13824.0,134470.0,134470.0,0.0,0.0,384,842.672376,887.286579,887.938005,977.273599,1024.322748,0.0,745.69465996875,7168.0,9120.0
20260720_crosssystem_normal_sglang_approx_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,512,1,2,20260720,11f7717969049b92e5a7277fb80cb3dd94f6f4af166b6b094caf5a3e40510ffa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.375,0.40625,832.0,1.0,27712.0,0.0,0,40752.0,134470.0,134470.0,1.0,1.0,3264,830.151487,968.136285,969.535841,965.965819,1188.760223,0.0,682.28051753125,23296.0,27712.0
20260720_crosssystem_normal_preble_global_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,preble_global,preble_global,inf,4,global exact view,none,512,1,2,20260720,11f7717969049b92e5a7277fb80cb3dd94f6f4af166b6b094caf5a3e40510ffa,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,32,0.375,0.40625,832.0,1.0,27712.0,0.0,0,40752.0,134470.0,134470.0,1.0,1.0,384,814.033635,986.982572,988.327313,945.737428,1206.420491,0.0,673.0777469375,23296.0,27712.0
