experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260716_live_k_exact_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"exact,sketch_coverage_k16,load_only,sketch_coverage_k4",b02-v5:difficult-k:rep0:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5390625,0.7109375,1456.0,1.0,191792.0,0,242864.0,403416.0,403416.0,1.0,1.0,5312,211.573784,2162.709757,2280.631905,590.331403,2418.298948,0.0,642.6221696015625,163072.0,191792.0
20260716_live_k_sketch_coverage_k16_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"exact,sketch_coverage_k16,load_only,sketch_coverage_k4",b02-v5:difficult-k:rep0:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.46875,0.6171875,1264.0,1.0,167008.0,0,218080.0,403416.0,403416.0,1.0,1.0,4480,841.980204,2232.234777,2334.645769,1096.595101,2501.952418,0.0,813.790659765625,141568.0,167008.0
20260716_live_k_load_only_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"exact,sketch_coverage_k16,load_only,sketch_coverage_k4",b02-v5:difficult-k:rep0:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.3671875,736.0,1.0,101024.0,0,118992.0,403416.0,403416.0,0.0,0.0,384,1449.340722,2219.989708,2307.86547,1611.392403,2433.63368,0.0,1273.8801915625,82432.0,101024.0
20260716_live_k_sketch_coverage_k4_rep0,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,0,12,20260716,e08594f64c49e1e0c987c318ef757513f01d4ae574abe03b56d05c4c8c814401,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"exact,sketch_coverage_k16,load_only,sketch_coverage_k4",b02-v5:difficult-k:rep0:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0625,0.3671875,720.0,1.0,101008.0,0,131360.0,403416.0,403416.0,3.0,3.0,1408,1503.593767,2211.802242,2248.725931,1664.622086,2402.819798,0.0,1287.192881640625,80640.0,101008.0
20260716_live_k_load_only_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,inf,4,n/a,net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"load_only,sketch_coverage_k4,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.0,0.4140625,848.0,1.0,113376.0,0,131360.0,403410.0,403410.0,0.0,0.0,384,955.165064,2215.24401,2253.584291,1561.366898,2406.634915,0.0,1146.9742356328125,94976.0,113376.0
20260716_live_k_sketch_coverage_k4_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"load_only,sketch_coverage_k4,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.1640625,0.4375,896.0,1.0,119504.0,0,149920.0,403410.0,403410.0,2.0,2.0,1408,981.458655,2290.926205,2345.284497,1539.2262,2539.761152,0.0,1154.2109034921875,100352.0,119504.0
20260716_live_k_sketch_coverage_k16_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"load_only,sketch_coverage_k4,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.4609375,0.6953125,1424.0,1.0,187696.0,0,230448.0,403410.0,403410.0,1.0,1.0,4480,315.344724,2241.540384,2356.268335,1140.836081,2465.308537,0.0,683.324260484375,159488.0,187696.0
20260716_live_k_exact_rep1,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,inf,4,n/a,net_prefill_benefit,1,12,20260716,43383dc3658c30fe45f604ee3947d74995275e5019357fe9116e3a3c83adc571,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"load_only,sketch_coverage_k4,sketch_coverage_k16,exact",b02-v5:difficult-k:rep1:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.5078125,0.7265625,1488.0,1.0,195952.0,0,238704.0,403410.0,403410.0,1.0,1.0,5440,193.503146,2089.392921,2308.340403,941.563688,2344.895503,0.0,602.602195390625,166656.0,195952.0
20260716_live_k_sketch_coverage_k4_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k4,4,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k4,sketch_coverage_k16,load_only,exact",b02-v5:difficult-k:rep2:sketch_coverage_k4,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.15625,0.421875,848.0,1.0,115296.0,0,151984.0,403410.0,403410.0,2.0,2.0,1408,985.375554,2318.955625,2335.679732,1527.403658,2532.753128,0.0,1226.6905924453124,94976.0,115296.0
20260716_live_k_sketch_coverage_k16_rep2,difficult_live_k_tradeoff_v5,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_coverage_k16,16,4,online coverage-first (demand x coverage),net_prefill_benefit,2,12,20260716,5e64a27c229095a1a8eb64c6ae618a64674b849a0b0c80287933028a1f15d532,192,64,128,96,0.55,128,8,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k4,sketch_coverage_k16,load_only,exact",b02-v5:difficult-k:rep2:sketch_coverage_k16,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,128,0.484375,0.71875,1456.0,1.0,193856.0,0,240880.0,403410.0,403410.0,2.0,2.0,4416,211.258564,2250.568011,2392.408439,507.868499,2465.195701,0.0,641.8355881953125,163072.0,193856.0
