experiment_id,experiment,evidence_type,code_commit,model,hardware,variant,policy,view_mode,K,J,admission,routing_guard,sglang_assumed_capacity,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,stale_belief_rate,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260720_crosssystem_eviction_exact_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,exact,net_benefit,inf,4,n/a,net_prefill_benefit,96,0,2,20260720,9191dbefce608422aab2e70484a81daf58e1bcf16397204d509dd1e6ae200795,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:eviction:rep0:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.3046875,0.375,768.0,1.0,102896.0,0.0,0,114720.0,403424.0,403424.0,1.0,1.0,6528,820.252524,1642.737352,23417.02474,957.821689,1937.9615,0.0,1058.5374001796874,86016.0,102896.0
20260720_crosssystem_eviction_sglang_approx_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,96,0,2,20260720,9191dbefce608422aab2e70484a81daf58e1bcf16397204d509dd1e6ae200795,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:eviction:rep0:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.3203125,0.3984375,816.0,1.0,103040.0,0.0234375,0,114864.0,403424.0,403424.0,1.0,1.0,9088,854.627632,1038.326617,3470.628125,1006.901272,1327.086843,0.0,728.343687609375,91392.0,103040.0
20260720_crosssystem_eviction_sketch_coverage_k16_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,96,0,2,20260720,9191dbefce608422aab2e70484a81daf58e1bcf16397204d509dd1e6ae200795,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:eviction:rep0:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.1953125,0.3046875,624.0,1.0,84224.0,0.0,0,96048.0,403424.0,403424.0,1.0,1.0,4480,884.021829,1057.401072,1121.711904,1047.398491,1236.047405,0.0,757.273132859375,69888.0,84224.0
20260720_crosssystem_eviction_load_only_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,96,0,2,20260720,9191dbefce608422aab2e70484a81daf58e1bcf16397204d509dd1e6ae200795,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:eviction:rep0:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.0,0.09375,192.0,1.0,28544.0,0.0,0,36224.0,403424.0,403424.0,0.0,0.0,384,969.708589,1134.325208,1219.743537,1123.580881,1311.890384,0.0,902.4052067968751,21504.0,28544.0
20260720_crosssystem_eviction_preble_global_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,preble_global,preble_global,inf,4,global exact view,none,96,0,2,20260720,9191dbefce608422aab2e70484a81daf58e1bcf16397204d509dd1e6ae200795,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:eviction:rep0:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.3046875,0.375,768.0,1.0,102896.0,0.0,0,114720.0,403424.0,403424.0,1.0,1.0,384,941.534928,1169.289133,1282.30129,1119.86974,1435.907756,0.0,759.78071821875,86016.0,102896.0
20260720_crosssystem_eviction_sketch_coverage_k16_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,96,1,2,20260720,8d77b67f3b57b990ae60f663a1bb750385e13e350fede1213a98f1aa57d5594b,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:eviction:rep1:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.109375,0.1875,384.0,1.0,53456.0,0.0,0,81792.0,403422.0,403422.0,1.0,1.0,4480,983.764298,1233.70271,1239.135188,1167.34219,1413.540769,0.0,901.726214921875,43008.0,53456.0
20260720_crosssystem_eviction_exact_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,exact,net_benefit,inf,4,n/a,net_prefill_benefit,96,1,2,20260720,8d77b67f3b57b990ae60f663a1bb750385e13e350fede1213a98f1aa57d5594b,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:eviction:rep1:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.171875,0.2265625,480.0,1.0,63664.0,0.0078125,0,92000.0,403422.0,403422.0,1.0,1.0,6528,981.708817,1245.141198,2379.226585,1174.173726,1442.74465,0.0,903.8725178828125,53760.0,63664.0
20260720_crosssystem_eviction_load_only_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,96,1,2,20260720,8d77b67f3b57b990ae60f663a1bb750385e13e350fede1213a98f1aa57d5594b,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:eviction:rep1:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.0,0.1015625,208.0,1.0,30720.0,0.0,0,44592.0,403422.0,403422.0,0.0,0.0,384,1070.108283,1333.459468,1420.995824,1242.608139,1520.932203,0.0,1006.15259421875,23296.0,30720.0
20260720_crosssystem_eviction_sglang_approx_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,96,1,2,20260720,8d77b67f3b57b990ae60f663a1bb750385e13e350fede1213a98f1aa57d5594b,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:eviction:rep1:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.203125,0.25,512.0,1.0,63776.0,0.0234375,0,92112.0,403422.0,403422.0,1.0,1.0,9792,1038.820849,1455.707052,4078.379845,1284.523925,1704.768545,0.0,1024.6835854609376,57344.0,63776.0
20260720_crosssystem_eviction_preble_global_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,eviction,preble_global,preble_global,inf,4,global exact view,none,96,1,2,20260720,8d77b67f3b57b990ae60f663a1bb750385e13e350fede1213a98f1aa57d5594b,192,64,128,384,0.55,24,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:eviction:rep1:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.171875,0.2265625,480.0,1.0,63664.0,0.0078125,0,92000.0,403422.0,403422.0,1.0,1.0,384,1036.629714,1374.298441,2627.702364,1249.158832,1630.6085,0.0,969.2814025703125,53760.0,63664.0
