experiment_id,experiment,evidence_type,code_commit,model,hardware,variant,policy,view_mode,K,J,admission,routing_guard,sglang_assumed_capacity,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,stale_belief_rate,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260720_crosssystem_normal_exact_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,exact,net_benefit,inf,4,n/a,net_prefill_benefit,512,0,12,20260720,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5390625,0.75,1536.0,1.0,210432.0,0.0,0,261872.0,403409.0,403409.0,1.0,1.0,5248,118.937758,917.321825,937.853053,338.752499,1147.23845,0.0,324.19947271093747,172032.0,210432.0
20260720_crosssystem_normal_sglang_approx_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,512,0,12,20260720,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5390625,0.75,1536.0,1.0,210432.0,0.0,0,261872.0,403409.0,403409.0,1.0,1.0,5248,129.366874,922.469427,1028.635082,341.79568,1217.780613,0.0,331.1616405859375,172032.0,210432.0
20260720_crosssystem_normal_sketch_coverage_k16_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,512,0,12,20260720,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.4921875,0.7109375,1456.0,1.0,198080.0,0.0,0,249520.0,403409.0,403409.0,1.0,1.0,4480,128.407339,894.541516,906.43206,344.58964,1115.563437,0.0,346.053581875,163072.0,198080.0
20260720_crosssystem_normal_load_only_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,512,0,12,20260720,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.0,0.421875,864.0,1.0,142336.0,0.0,0,181472.0,403409.0,403409.0,0.0,0.0,384,78.8156,963.913629,1024.1091,229.983153,1109.147423,0.0,457.0191529765625,96768.0,142336.0
20260720_crosssystem_normal_preble_global_rep0,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,preble_global,preble_global,inf,4,global exact view,none,512,0,12,20260720,7a4c779adffe1bcdfefe5957cd6d4d973e949d857be94c9b587d7cfa626d6b8f,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"exact,sglang_approx,sketch_coverage_k16,load_only,preble_global",b02-x1:crosssystem:normal:rep0:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5390625,0.75,1536.0,1.0,204240.0,0.0,0,253536.0,403409.0,403409.0,1.0,1.0,384,150.403546,958.609139,1173.643308,348.530275,1250.662929,0.0,368.382356578125,172032.0,204240.0
20260720_crosssystem_normal_sketch_coverage_k16_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sketch_coverage_k16,net_benefit,16,4,online coverage-first (demand x coverage),net_prefill_benefit,512,1,12,20260720,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:sketch_coverage_k16,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.46875,0.6875,1408.0,1.0,185680.0,0.0,0,230736.0,403414.0,403414.0,1.0,1.0,4480,128.492985,918.385404,941.576886,345.35122,1109.938597,0.0,373.27851147656247,157696.0,185680.0
20260720_crosssystem_normal_exact_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,exact,net_benefit,inf,4,n/a,net_prefill_benefit,512,1,12,20260720,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:exact,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5234375,0.734375,1504.0,1.0,198016.0,0.0,0,234640.0,403414.0,403414.0,1.0,1.0,5568,111.030647,928.822108,979.762351,324.516695,1145.880353,0.0,333.006279109375,168448.0,198016.0
20260720_crosssystem_normal_load_only_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,load_only,net_benefit,inf,4,n/a,net_prefill_benefit,512,1,12,20260720,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:load_only,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.0,0.34375,704.0,1.0,94800.0,0.0,0,114832.0,403414.0,403414.0,0.0,0.0,384,860.277115,986.755558,1123.728661,1001.75852,1134.76657,0.0,621.0894510078125,78848.0,94800.0
20260720_crosssystem_normal_sglang_approx_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,sglang_approx,sglang_approx,inf,4,router-side learned map (assumed capacity),none,512,1,12,20260720,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:sglang_approx,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5234375,0.734375,1504.0,1.0,198016.0,0.0,0,234624.0,403414.0,403414.0,1.0,1.0,5568,125.483726,981.065013,1086.720805,354.03343,1156.913865,0.0,347.664398859375,168448.0,198016.0
20260720_crosssystem_normal_preble_global_rep1,live_crosssystem_v1,live_t4_vllm,TO_BE_FINALIZED,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,normal,preble_global,preble_global,inf,4,global exact view,none,512,1,12,20260720,23654dc578af2e65d049602df7384f197ddbf8c143f86db84e928e3c26a91b86,192,64,128,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"sketch_coverage_k16,exact,load_only,sglang_approx,preble_global",b02-x1:crosssystem:normal:rep1:preble_global,False,Live T4 TTFT and vLLM cached-token telemetry. Believed coverage (selected_coverage_tokens) vs physical cached tokens yields stale-belief rate.,Current,128,0.5234375,0.734375,1504.0,1.0,198016.0,0.0,0,234624.0,403414.0,403414.0,1.0,1.0,384,129.558838,1006.313151,1012.440511,356.30458,1239.494502,0.0,350.890229984375,168448.0,198016.0
