experiment_id,experiment,evidence_type,code_commit,model,hardware,policy,guard_mode,abstain_min_increment_tokens,K,J,admission,routing_guard,rep,repetitions,seed,workload_trace_hash,request_count_total,warmup_request_count,measured_request_count,active_prefixes,zipf_alpha,cache_capacity,concurrency,prefix_token_target,fixed_output_tokens,generation_mode,policy_order,policy_order_sequence,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,candidate_hit_rate,abstain_rate,dispatcher_reuse_rate,mean_selected_coverage_tokens,vllm_cached_token_rate,vllm_cached_tokens_total,retried_request_count,metric_prefix_cache_hits_delta,metric_prefix_cache_queries_delta,metric_prompt_tokens_delta,raw_candidate_fanout_p95,evaluated_candidate_fanout_p95,dispatcher_index_bytes,ttft_p50_ms,ttft_p95_ms,ttft_p99_ms,latency_p50_ms,latency_p95_ms,request_error_rate,mean_ttft_ms,estimated_saved_prefill_tokens_total,physical_cached_tokens_total
20260719_guard_ablation_exact_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,exact,net_benefit,1024,inf,4,n/a,net_benefit,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:exact,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.28125,0.0,0.46875,960.0,1.0,67072.0,0,134144.0,134473.0,134473.0,1.0,1.0,3072,73.562379,145.551201,150.204863,211.244648,335.350632,0.0,84.90491640625,26880.0,67072.0
20260719_guard_ablation_sketch_k4_affinity_first_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k4_affinity_first,affinity_first,1024,4,4,online coverage-first (demand x coverage),affinity_first,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:sketch_k4_affinity_first,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.15625,0.0,0.28125,576.0,1.0,67072.0,0,134144.0,134473.0,134473.0,1.0,1.0,1408,73.267489,75.14163,144.392409,206.909638,213.360768,0.0,75.65732971875,16128.0,67072.0
20260719_guard_ablation_load_only_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,net_benefit,1024,inf,4,n/a,net_benefit,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.0,0.0,0.1875,384.0,1.0,67072.0,0,134144.0,134473.0,134473.0,0.0,0.0,384,73.798933,75.355867,76.097359,210.914057,212.881986,0.0,73.6863181875,10752.0,67072.0
20260719_guard_ablation_sketch_k4_abstain_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k4_abstain,abstain,1024,4,4,online coverage-first (demand x coverage),abstain,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:sketch_k4_abstain,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.09375,0.0,0.25,512.0,1.0,17360.0,0,26304.0,134473.0,134473.0,1.0,1.0,1408,828.347081,883.549167,889.454308,959.795779,1020.502579,0.0,646.1655708125,14336.0,17360.0
20260719_guard_ablation_sketch_k16_affinity_first_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k16_affinity_first,affinity_first,1024,16,4,online coverage-first (demand x coverage),affinity_first,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,4,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:sketch_k16_affinity_first,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.28125,0.0,0.46875,960.0,1.0,67072.0,0,134144.0,134473.0,134473.0,1.0,1.0,3072,74.377727,148.788891,151.136316,213.433848,338.153637,0.0,84.51305375,26880.0,67072.0
20260719_guard_ablation_sketch_k16_abstain_rep0,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k16_abstain,abstain,1024,16,4,online coverage-first (demand x coverage),abstain,0,2,20260719,4e89d5f87037710f1df68c1b7746e39ec3e23f7be57d9741d97d1c1761ded8f9,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,5,"exact,sketch_k4_affinity_first,load_only,sketch_k4_abstain,sketch_k16_affinity_first,sketch_k16_abstain",b02-s2:guard-ablation:rep0:sketch_k16_abstain,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.125,0.1875,0.28125,576.0,1.0,19392.0,0,30432.0,134473.0,134473.0,1.0,1.0,3584,839.033597,876.175598,925.232154,974.162874,1015.162375,0.0,635.13482103125,16128.0,19392.0
20260719_guard_ablation_sketch_k16_affinity_first_rep1,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k16_affinity_first,affinity_first,1024,16,4,online coverage-first (demand x coverage),affinity_first,1,2,20260719,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,0,"sketch_k16_affinity_first,sketch_k4_affinity_first,load_only,sketch_k16_abstain,sketch_k4_abstain,exact",b02-s2:guard-ablation:rep1:sketch_k16_affinity_first,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.3125,0.0,0.46875,960.0,1.0,67072.0,0,134144.0,134470.0,134470.0,1.0,1.0,3072,74.609985,148.994275,163.666931,213.827357,338.608167,0.0,86.29781365625,26880.0,67072.0
20260719_guard_ablation_sketch_k4_affinity_first_rep1,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k4_affinity_first,affinity_first,1024,4,4,online coverage-first (demand x coverage),affinity_first,1,2,20260719,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,1,"sketch_k16_affinity_first,sketch_k4_affinity_first,load_only,sketch_k16_abstain,sketch_k4_abstain,exact",b02-s2:guard-ablation:rep1:sketch_k4_affinity_first,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.1875,0.0,0.3125,640.0,1.0,67072.0,0,134144.0,134470.0,134470.0,2.0,2.0,1408,77.174242,88.646484,151.104085,222.506657,301.521472,0.0,84.3008104375,17920.0,67072.0
20260719_guard_ablation_load_only_rep1,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,load_only,net_benefit,1024,inf,4,n/a,net_benefit,1,2,20260719,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,2,"sketch_k16_affinity_first,sketch_k4_affinity_first,load_only,sketch_k16_abstain,sketch_k4_abstain,exact",b02-s2:guard-ablation:rep1:load_only,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.0,0.0,0.1875,384.0,1.0,67072.0,0,134144.0,134470.0,134470.0,0.0,0.0,384,86.63544,90.362337,90.70875,223.809911,231.589468,0.0,81.5553609375,10752.0,67072.0
20260719_guard_ablation_sketch_k16_abstain_rep1,live_guard_ablation_v1,live_t4_vllm,19fe2771134a43109738b3bcde1aa35c9364b890,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B; one vLLM instance/GPU,sketch_k16_abstain,abstain,1024,16,4,online coverage-first (demand x coverage),abstain,1,2,20260719,d4107886837ce72f64a5e5fd37b003c6bcf406a5a8b082163d07ffe6025c2bd0,64,32,32,96,0.55,128,4,2048,4,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,3,"sketch_k16_affinity_first,sketch_k4_affinity_first,load_only,sketch_k16_abstain,sketch_k4_abstain,exact",b02-s2:guard-ablation:rep1:sketch_k16_abstain,False,"Live T4 TTFT and vLLM cached-token telemetry. Estimated saved prefill is dispatcher coverage, reported separately.",Current,32,0.125,0.1875,0.28125,576.0,1.0,19440.0,0,28336.0,134470.0,134470.0,2.0,2.0,3648,838.940712,934.177399,945.417749,972.146745,1072.709886,0.0,641.51686971875,16128.0,19440.0
