request_id,arrival_time,tenant,model_revision,full_prefix_hash_chain,prefix_length,expected_reuse_coverage,generation_length,locality_class,digest,prompt_namespace,discard
0,0.0,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0042""]",256,0.8333333333333333,16,high,p0042,20260715_high_rep4,True
1,0.03,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0008""]",512,0.5,16,high,p0008,20260715_high_rep4,True
2,0.06,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,True
3,0.09,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,True
4,0.12,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0019""]",256,1.0,16,high,p0019,20260715_high_rep4,True
5,0.15,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0005""]",512,0.6666666666666666,16,high,p0005,20260715_high_rep4,True
6,0.18,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",256,0.5,16,high,p0004,20260715_high_rep4,True
7,0.21,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0017""]",512,0.6666666666666666,16,high,p0017,20260715_high_rep4,True
8,0.24,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0012""]",256,0.5,16,high,p0012,20260715_high_rep4,False
9,0.27,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
10,0.3,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0002""]",256,0.8333333333333333,16,high,p0002,20260715_high_rep4,False
11,0.32999999999999996,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
12,0.36,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0006""]",256,0.8333333333333333,16,high,p0006,20260715_high_rep4,False
13,0.39,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
14,0.42,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",256,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
15,0.44999999999999996,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
16,0.48,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
17,0.51,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0212""]",512,0.5,16,high,p0212,20260715_high_rep4,False
18,0.54,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
19,0.57,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0006""]",512,0.8333333333333333,16,high,p0006,20260715_high_rep4,False
20,0.6,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
21,0.63,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0018""]",512,0.8333333333333333,16,high,p0018,20260715_high_rep4,False
22,0.6599999999999999,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0020""]",256,0.5,16,high,p0020,20260715_high_rep4,False
23,0.69,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
24,0.72,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
25,0.75,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0005""]",512,0.6666666666666666,16,high,p0005,20260715_high_rep4,False
26,0.78,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0076""]",256,0.5,16,high,p0076,20260715_high_rep4,False
27,0.8099999999999999,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0200""]",512,0.5,16,high,p0200,20260715_high_rep4,False
28,0.84,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0033""]",256,0.6666666666666666,16,high,p0033,20260715_high_rep4,False
29,0.87,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
30,0.8999999999999999,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",256,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
31,0.9299999999999999,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0244""]",512,0.5,16,high,p0244,20260715_high_rep4,False
32,0.96,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",256,0.5,16,high,p0004,20260715_high_rep4,False
33,0.99,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0021""]",512,0.6666666666666666,16,high,p0021,20260715_high_rep4,False
34,1.02,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0010""]",256,0.8333333333333333,16,high,p0010,20260715_high_rep4,False
35,1.05,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0008""]",512,0.5,16,high,p0008,20260715_high_rep4,False
36,1.08,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
37,1.1099999999999999,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
38,1.14,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
39,1.17,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0012""]",512,0.5,16,high,p0012,20260715_high_rep4,False
40,1.2,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0006""]",256,0.8333333333333333,16,high,p0006,20260715_high_rep4,False
41,1.23,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
42,1.26,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0003""]",256,1.0,16,high,p0003,20260715_high_rep4,False
43,1.29,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0012""]",512,0.5,16,high,p0012,20260715_high_rep4,False
44,1.3199999999999998,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",256,0.5,16,high,p0000,20260715_high_rep4,False
45,1.3499999999999999,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
46,1.38,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0006""]",256,0.8333333333333333,16,high,p0006,20260715_high_rep4,False
47,1.41,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
48,1.44,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0025""]",256,0.6666666666666666,16,high,p0025,20260715_high_rep4,False
49,1.47,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
50,1.5,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0003""]",256,1.0,16,high,p0003,20260715_high_rep4,False
51,1.53,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
52,1.56,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0064""]",256,0.5,16,high,p0064,20260715_high_rep4,False
53,1.5899999999999999,tenant-0,qwen2.5-1.5b-r1,"[""root"", ""tenant-0"", ""p0000""]",512,0.5,16,high,p0000,20260715_high_rep4,False
54,1.6199999999999999,tenant-5,qwen2.5-1.5b-r1,"[""root"", ""tenant-5"", ""p0037""]",256,0.6666666666666666,16,high,p0037,20260715_high_rep4,False
55,1.65,tenant-1,qwen2.5-1.5b-r1,"[""root"", ""tenant-1"", ""p0001""]",512,0.6666666666666666,16,high,p0001,20260715_high_rep4,False
56,1.68,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0012""]",256,0.5,16,high,p0012,20260715_high_rep4,False
57,1.71,tenant-2,qwen2.5-1.5b-r1,"[""root"", ""tenant-2"", ""p0010""]",512,0.8333333333333333,16,high,p0010,20260715_high_rep4,False
58,1.74,tenant-6,qwen2.5-1.5b-r1,"[""root"", ""tenant-6"", ""p0006""]",256,0.8333333333333333,16,high,p0006,20260715_high_rep4,False
59,1.77,tenant-7,qwen2.5-1.5b-r1,"[""root"", ""tenant-7"", ""p0063""]",512,1.0,16,high,p0063,20260715_high_rep4,False
60,1.7999999999999998,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0003""]",256,1.0,16,high,p0003,20260715_high_rep4,False
61,1.8299999999999998,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0004""]",512,0.5,16,high,p0004,20260715_high_rep4,False
62,1.8599999999999999,tenant-3,qwen2.5-1.5b-r1,"[""root"", ""tenant-3"", ""p0139""]",256,1.0,16,high,p0139,20260715_high_rep4,False
63,1.89,tenant-4,qwen2.5-1.5b-r1,"[""root"", ""tenant-4"", ""p0028""]",512,0.5,16,high,p0028,20260715_high_rep4,False
