experiment_id,experiment,evidence_type,code_commit,model,hardware,cell_id,policy,bps_tier,link_msg_bytes,rep,repetitions,seed,workload_trace_hash,zipf_alpha,pool_size,distinct_prefixes_total,phase_shift_at_request,n_requests,warmup_request_count,concurrency,prefix_token_target,fixed_output_tokens,kv_cache_tokens_per_instance_shadow,utility_tau_s,utility_lambda,utility_gate_s,topk,j,guard_ms,prefill_tokens_per_ms,queue_penalty_ms,generation_mode,vllm_cache_salt,semantic_prompt_contains_policy,metric_scope,status,request_count,cell_active_s,upserts_generated,upserts_per_s,raw_ad_bytes_per_s,affinity_selection_rate,vllm_cached_token_rate,vllm_cached_tokens_total,stale_fallback_count,stale_fallback_rate,ttft_mean_ms,ttft_p50_ms,ttft_p95_ms,latency_p50_ms,latency_p95_ms,retried_request_count,request_error_rate,link_bps,link_bytes_sent,link_upserts_sent,link_tombstones_sent,link_dropped_superseded,link_dropped_replica_cap,link_dropped_low_utility,ad_queue_delay_p50_s,ad_queue_delay_p95_s,tombstone_delay_p95_s,ewma_dq_final_s
20260723_shared_link_live_v1_ideal_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,ideal,ideal,none,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:ideal:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,11.745428967289627,48,4.0866962061306875,261.548557192364,0.21875,1.0,23568.0,0,0.0,788.5191980625,872.912194,1004.633508,1043.703208,1225.482948,0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20260723_shared_link_live_v1_exact_fifo@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@low,exact_fifo,low,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:exact_fifo@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.468384156003594,48,3.8497370147909455,246.38316894662051,0.1875,1.0,19392.0,0,0.0,692.72274565625,823.336865,949.706783,954.56277,1166.617329,0,0.0,500.0,3072,48,0,0,0,0,0.38533195946365595,0.5145750744268298,0.0,0.3571937100330384
20260723_shared_link_live_v1_exact_fifo@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@med,exact_fifo,med,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:exact_fifo@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.449859484098852,48,3.8554652011379185,246.74977287282678,0.1875,1.0,19392.0,0,0.0,686.198377625,827.143965,927.18782,958.760562,1082.172224,0,0.0,500.0,3072,48,0,0,0,0,0.3854745514690876,0.5146980751305819,0.0,0.35756666447384555
20260723_shared_link_live_v1_exact_fifo@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,exact_fifo@high,exact_fifo,high,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:exact_fifo@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.538779204711318,48,3.8281238720564192,244.99992781161083,0.1875,1.0,19392.0,0,0.0,698.035151625,830.997078,966.997941,965.895329,1180.429913,0,0.0,500.0,3072,48,0,0,0,0,0.3852584734559059,0.5149142369627953,0.0,0.35749142784170684
20260723_shared_link_live_v1_local_topk@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@low,local_topk,low,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:local_topk@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.452385678887367,48,3.854683049319819,246.69971515646841,0.1875,1.0,19392.0,0,0.0,682.94583934375,823.40781,911.802524,955.786335,1100.141979,0,0.0,500.0,3328,48,4,0,0,0,0.3849534746259451,0.64242859557271,0.5142121315002441,0.49365859874723994
20260723_shared_link_live_v1_local_topk@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@med,local_topk,med,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:local_topk@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.279988723807037,48,3.9087983775541333,250.16309616346453,0.1875,1.0,19392.0,0,0.0,676.78775428125,828.837068,931.084302,973.756569,1078.577173,0,0.0,500.0,3328,48,4,0,0,0,0.3852512463927269,0.6424254737794399,0.5141768800094724,0.4937777893419879
20260723_shared_link_live_v1_local_topk@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,local_topk@high,local_topk,high,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:local_topk@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.199752351269126,48,3.9345060963476537,251.80839016624984,0.1875,1.0,19392.0,0,0.0,674.26967153125,816.692785,889.923369,957.860853,1077.564743,0,0.0,500.0,3328,48,4,0,0,0,0.38557186909019947,0.6424055062234402,0.5141957243904471,0.49363595053175613
20260723_shared_link_live_v1_agg_static@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@low,agg_static,low,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:agg_static@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.227920474484563,48,3.925442604910572,251.22832671427662,0.1875,1.0,19392.0,0,0.0,665.55102465625,810.886143,892.090897,949.178595,1049.762045,0,0.0,500.0,3072,48,0,0,0,0,0.3848059540614486,0.5150742176920176,0.0,0.35693360076048475
20260723_shared_link_live_v1_agg_static@med_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@med,agg_static,med,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:agg_static@med:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.065684326924384,48,3.9782244172333234,254.6063627029327,0.1875,1.0,19392.0,0,0.0,668.22472740625,808.91801,863.803401,950.472321,1076.719179,0,0.0,500.0,3072,48,0,0,0,0,0.3851240584626794,0.5148984706029296,0.0,0.3572887397361556
20260723_shared_link_live_v1_agg_static@high_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_static@high,agg_static,high,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:agg_static@high:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,11.93223330564797,48,4.02271718717399,257.4538999791354,0.1875,1.0,19392.0,0,0.0,657.52146365625,799.158098,874.81213,935.08943,1046.288225,0,0.0,500.0,3072,48,0,0,0,0,0.3853127844631672,0.5147416880354285,0.0,0.3570284247536322
20260723_shared_link_live_v1_agg_adaptive@low_rep0,shared_link_live_v1,hybrid_live_vllm_simulated_link,112e71c4e7d7ad802c9425949cc3281c862aaecf,/home/byh/.cache/modelscope/qwen/Qwen2.5-1.5B-Instruct,4x Tesla T4; Qwen2.5-1.5B-Instruct; one vLLM instance/GPU,agg_adaptive@low,agg_adaptive,low,64,0,1,20260723,c97d4f739d18cf83a1b2a574481821ad2419861c8f6634cb7ee36cb368e62173,0.55,64,128,24,48,16,4,2048,4,104544,30.0,28.0,0.05,8,4,0.5,50.0,2.0,greedy_temperature0_min_tokens_eq_max_tokens_ignore_eos,sharedlink-v1:smoke:agg_adaptive@low:rep0,False,TTFT and cached-token telemetry are live vLLM measurements; only the shared control link is simulated.,Current,32,12.198470341041684,48,3.9349195971321316,251.83485421645642,0.1875,1.0,19392.0,0,0.0,662.10895025,806.095776,870.796237,944.680881,1067.196866,0,0.0,500.0,3072,48,0,0,0,0,0.385125775821507,0.514646696858108,0.0,0.3575403381101909
