scenario,policy_family,K,load_reuse,exact_reuse,sketch_reuse,sketch_reuse_gain_capture,load_ttft_p95_ms,exact_ttft_p95_ms,sketch_ttft_p95_ms,sketch_ttft_gain_capture,exact_metadata_B,sketch_metadata_B,sketch_metadata_vs_exact,writing_guidance
eviction,dualmap,2,0.724,0.739,0.728,0.2667,150.0,150.0,150.0,n/a,19776,7040,0.356,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,4,0.724,0.739,0.738,0.9333,150.0,150.0,150.0,n/a,19776,10176,0.5146,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,8,0.724,0.739,0.737,0.8667,150.0,150.0,150.0,n/a,19776,15552,0.7864,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,dualmap,16,0.724,0.739,0.762,2.5333,150.0,150.0,150.0,n/a,19776,18048,0.9126,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,2,0.155,0.748,0.459,0.5126,150.0,150.0,150.0,n/a,19200,7040,0.3667,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,4,0.155,0.748,0.6,0.7504,150.0,150.0,150.0,n/a,19200,10496,0.5467,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,8,0.155,0.748,0.679,0.8836,150.0,150.0,150.0,n/a,19200,16832,0.8767,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,power2,16,0.155,0.748,0.745,0.9949,150.0,150.0,150.0,n/a,19200,19392,1.01,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,2,0.726,0.75,0.734,0.3333,150.0,150.0,150.0,n/a,19072,6848,0.3591,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,4,0.726,0.75,0.735,0.375,150.0,150.0,150.0,n/a,19072,10176,0.5336,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,8,0.726,0.75,0.745,0.7917,150.0,150.0,150.0,n/a,19072,15040,0.7886,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
eviction,slo_affinity,16,0.726,0.75,0.739,0.5417,150.0,150.0,150.0,n/a,19072,19712,1.0336,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,2,0.873,0.87,0.872,0.3333,150.0,150.0,150.0,n/a,11392,6528,0.573,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,4,0.873,0.87,0.877,-1.3333,150.0,150.0,150.0,n/a,11392,8768,0.7697,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,8,0.873,0.87,0.871,0.6667,150.0,150.0,150.0,n/a,11392,11136,0.9775,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,dualmap,16,0.873,0.87,0.859,4.6667,150.0,150.0,150.0,n/a,11392,12096,1.0618,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,2,0.543,0.867,0.821,0.858,150.0,150.0,150.0,n/a,11584,6656,0.5746,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,4,0.543,0.867,0.853,0.9568,150.0,150.0,150.0,n/a,11584,8960,0.7735,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,8,0.543,0.867,0.866,0.9969,150.0,150.0,150.0,n/a,11584,11392,0.9834,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,power2,16,0.543,0.867,0.865,0.9938,150.0,150.0,150.0,n/a,11584,11712,1.011,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
remap_restart,slo_affinity,2,0.859,0.871,0.874,1.25,150.0,150.0,150.0,n/a,11328,6336,0.5593,Use K=8/16 rows to argue cross-policy generality if gain capture is high and metadata ratio is low.
